Address,Postcode,Coordinates
"Hillgate, Upper Ainleys, Whitehill Road, Holmfield",HX2 9UD," None,  None"
"46 South Lawn, Witney",OX28 5HX," 51.780660499999996,  -1.4992031"
"10 Brookside, Hornchurch",RM11 2RS," 51.576371400000006,  0.22276069999999998"
"158 Sewerby Road, Bridlington",YO16 6UP," 54.097048099999995,  -0.18292699999999998"
"22 Market Place, Gainsborough",DN21 2BZ," 53.399584,  -0.7763336"
"Roslyn Cottage, West Street, Dormansland",RH7 6QR," 51.1641249,  0.0046171"
"Flat 2, 33 - 34 Eccleston Square, London",SW1V 1PB," 51.4913392,  -0.1452735"
"1 Ezel Court, Heol Glan Rheidol, Cardiff",CF10 5NS," 51.4684221,  -3.171576"
"42 Eastern Road, London",N2 9LA," 51.5896964,  -0.156357"
"9 Belvedere Close, Kingswinford",DY6 8PW," 52.4877526,  -2.1487547"
"97 Lindsey Street, Epping",CM16 6RD," 51.7068969,  0.1119998"
"Knoll View, Bleadon Road, Bleadon",BS24 0PS," 51.3075335,  -2.9506425999999997"
"1 Police Houses, Aberdare",CF44 0UH," 51.701834,  -3.4123742999999997"
"Weycroft Hall, Weycroft",EX13 7LL," 50.794052099999995,  -2.9833018"
"11 Howe Road, Norton",YO17 9BH," 54.129526,  -0.7820849999999999"
"Flat 11, Leeward Court, Asher Way, London",E1W 2JY," 51.5070905,  -0.0633114"
"115 Woodford Avenue, Plymouth",PL7 4QS," 50.3963055,  -4.0772645"
"5 Nant Y Mount, Capel Y Graig",LL57 2SQ," 53.202187599999995,  -4.1765661"
"Rose Cottage, Dottery",DT6 5HS," None,  None"
"5 Harrison Close, Cheslyn Hay",WS6 7PD," 52.654388700000005,  -2.0350829"
"16 Millais, Horsham",RH13 6BS," 51.068259,  -0.30144119999999996"
"78 Dalewood Avenue, Sheffield",S8 0EH," 53.3402034,  -1.4975661"
"4 Brentwood Avenue, Sheffield",S11 9BT," 53.357166899999996,  -1.4974796"
"53 Harrot Hill, Cockermouth",CA13 0BL," 54.656282,  -3.3771638999999998"
"5 Melplash Road, Ipswich",IP3 8QL," 52.047632099999994,  1.2084622999999999"
"6 Farndale Gardens, Shildon",DL4 2LZ," 54.630869499999996,  -1.6297785999999999"
"17 Maes Padrig, Cemaes Bay",LL67 0EY," 53.4135518,  -4.4539108"
"165 Lily Hill Street, Whitefield",M45 7SP," 53.558106099999996,  -2.2977723"
"Laurel Cottage, White Farm Road, Alltami",CH7 6HG," 53.1788581,  -3.0885746"
"4 Plover Close, Sandown",PO36 9QW," 50.6447766,  -1.1765066"
"12 Barnsdale Road, Reading",RG2 7JN," 51.4369346,  -0.9547847"
"The Rookery, Dell Lane, Little Hallingbury",CM22 7SQ," 51.840072,  0.1639217"
"36 Churchfields, Broxbourne",EN10 7JP," 51.749558099999994,  -0.013563799999999999"
"4 Stanley Park Court, Saltney",CH4 8QA," 53.172676599999996,  -2.9244029"
"32 Westville Road, Thames Ditton",KT7 0UJ," 51.3867744,  -0.32780319999999996"
"2 Church View, Penmachno",LL24 0UR," 53.0391978,  -3.8059832999999994"
"42B Fauconberg Road, London",W4 3JU," 51.4856206,  -0.2707654"
"13 The Wamses, Beadnell",NE67 5BL," 55.5520183,  -1.6258801999999999"
"3 Edgemoor Road, West Moors",BH22 0DD," 50.8209625,  -1.8662153"
"56 Tiverton Road, Cullompton",EX15 1HT," 50.8580085,  -3.4001918"
"The Jays, Brookstones, Sydenham",OX39 4NA," 51.7144127,  -0.9519943"
"307 Firs Lane, London",N13 5QH," 51.623091599999995,  -0.09027070000000001"
"22 Hill Rise, Romiley",SK6 3AP," 53.4142315,  -2.0939848"
"76 Carlisle Road, Bradford",BD8 8BD," 53.805579099999996,  -1.7716665999999999"
"Coton Villa, Haunch Lane, Lea Marston",B76 0BX," 52.5429731,  -1.7023503"
"Flat 1, The Linen House, Castle Street, Canterbury",CT1 2QT," 51.2765933,  1.0767552999999999"
"96 Bedwellty Road, Aberbargoed",CF81 9BA," 51.6949131,  -3.2217564999999997"
"45 Bradmore Way, Brookmans Park",AL9 7QY," 51.7252212,  -0.2012907"
"118 Ogley Road, Walsall",WS8 6BD," 52.6461258,  -1.9237666"
"4 Priory Lodge, Nightingale Place, Rickmansworth",WD3 7DG," 51.6407324,  -0.474798"
"48 Brakefield Road, Southfleet",DA13 9PZ," 51.4090499,  0.32405639999999997"
"Flat 5, Juno House, 9 Cedars Avenue, Mitcham",CR4 1GA," 51.4035903,  -0.15290289999999998"
"9 Millfields Road, Hythe",CT21 4DH," 51.071414,  1.067367"
"98 North Brink, Wisbech",PE13 1LL," 52.659162699999996,  0.1486461"
"9 Fletcher Close, Basingstoke",RG21 8AZ," 51.2607355,  -1.0980059"
"15 Brigg Road, Hibaldstow",DN20 9PB," 53.5162765,  -0.5264888"
"2 Butterbur Close, Derby",DE24 3EX," 52.874643299999995,  -1.5087606"
"14 Chester Gardens, Enfield",EN3 4BB," 51.6413376,  -0.0532295"
"48 St Kilda's Road, London",N16 5BZ," 51.567573599999996,  -0.08363459999999999"
"6 Baron Court, Old Market Street, Thetford",IP24 2EH," 52.4109762,  0.7508054"
"1 The Brambles, Lostwithiel",PL22 0JU," 50.409473399999996,  -4.675989899999999"
"8 Bank Grove, Dewsbury",WF12 8HQ," 53.689557,  -1.6058515999999998"
"2 Brooklands Park, Longlevens",GL2 0DW," 51.8797133,  -2.2132685"
"50 Broxton Avenue, Orrell",WN5 8NP," 53.5420398,  -2.7023959"
"Crosslands, Crymych",SA41 3RU," None,  None"
"Cross Cottage, West Street, Bishops Nympton",EX36 4PH," 50.7201117,  -1.110574"
"2A Claughton Drive, Wallasey",CH44 4EW," 53.4121734,  -3.0451151"
"1 Fernwood, Norton",WA7 6UT," 41.6940032,  -88.0737659"
"Penystone, Camden Road, Lingfield",RH7 6AF," 51.1738066,  -0.0137153"
